,hotel_id,hotel_name,first recommendation,distance 1,second recommendation,distance 2,thrid recommendation,distance 3
731,4476259,Big Apple Hostel,Sun Bright Hotel,0.8456966500379081,Wyndham Garden Chinatown,0.9360470520608921,Hotel Carter,0.9398070734571153
732,5113699,Haiban Inn,Econo Lodge Jersey City,0.726138721247417,Explore Hotel and Hostel,0.7891814893221081,Ramada by Wyndham Jersey City,0.8076817705731903
733,6708195,Urban Cowboy B&B,Park Slope Bed & Breakfast,0.7891814893221081,The Greenpoint Lodge,0.8174258141649446,The New York Loft Hostel,0.894590744661054
734,15268195,Apollo Inn,YOTEL New York,1.0,Novotel New York Times Square,1.0,The Assemblage John Street,1.0
735,15750627,New York Apartments,Chelsea Art Suites,0.8787321874818335,The Grand NYC,0.9527544408738466,Radio City Apartments,0.9533239971990664
736,249656,Millennium Premier New York Times Square,Millennium Broadway New York Times Square,0.836320074339584,Crowne Plaza Times Square Manhattan,0.9176059318717456,Sanctuary Hotel New York Times Square,0.9213809593713164
737,268216,Hampton Inn Manhattan-Chelsea,Hampton Inn Manhattan - Madison Square Garden Area,0.9033640782078256,Fairfield Inn & Suites New York Manhattan/Chelsea,0.9125999510559589,Hilton Garden Inn New York/Manhattan-Chelsea,0.9156710659383858
738,514488,Hotel on Rivington,Hotel Indigo Lower East Side New York,0.8814189302326467,SIXTY LES,0.9038993762376967,Sago Hotel,0.9126039311212217
739,673080,Holiday Inn NYC - Manhattan 6th Avenue - Chelsea,Holiday Inn Express New York City - Chelsea,0.9199123459454649,Hampton Inn Manhattan-Chelsea,0.9290447823516316,Imhotep New York Bed & Breakfast,0.9384542545103336
740,1237944,I Love Dormitory,Bed and Breakfast NYC,0.7705842661294382,Time Square Apartments,0.862639436051311,"Club Quarters Hotel, Wall Street",0.9483602220505678
741,1641016,"The Chatwal, a Luxury Collection Hotel, New York City",The Peninsula New York,0.8742149321810482,The St. Regis New York,0.8811181544194769,"The Ritz-Carlton New York, Central Park",0.88815722052824
742,3349304,The Greenpoint Lodge,Urban Cowboy B&B,0.8174258141649446,Greenpoint YMCA,0.9024099927051467,Nesva Hotel,0.942833804952497
